Surface,Court,ranking_diff,AvgW,AvgL,win
Grass,Outdoor,65,18.86,1.01,0
Grass,Outdoor,47,2.04,1.73,1
Grass,Outdoor,44,4.06,1.22,0
Grass,Outdoor,34,3.19,1.33,0
Grass,Outdoor,33,8.85,1.05,0
Grass,Outdoor,-20,1.44,2.7,1
Grass,Outdoor,-39,1.04,10.1,1
Grass,Outdoor,30,6.68,1.1,1
Grass,Outdoor,-182,1.22,4.07,1
Grass,Outdoor,-157,1.61,2.25,1
Grass,Outdoor,26,2.14,1.66,1
Grass,Outdoor,-30,1.42,2.75,1
Grass,Outdoor,124,2.11,1.68,0
Grass,Outdoor,49,2.16,1.66,0
Grass,Outdoor,274,3.58,1.27,0
Grass,Outdoor,-1,1.11,6.57,1
Grass,Outdoor,114,1.56,2.35,1
Grass,Outdoor,12,1.41,2.77,1
Grass,Outdoor,2,1.86,1.87,0
Grass,Outdoor,156,4.18,1.21,0
Grass,Outdoor,-5,1.71,2.02,0
Grass,Outdoor,8,1.92,1.81,1
Grass,Outdoor,-8,2.97,1.37,1
Grass,Outdoor,-194,1.61,2.24,0
Grass,Outdoor,-14,1.14,5.37,1
Grass,Outdoor,68,1.31,3.31,1
Grass,Outdoor,-15,1.8,1.95,1
Grass,Outdoor,70,1.99,1.76,0
Grass,Outdoor,189,2.65,1.46,1
Grass,Outdoor,403,3.46,1.29,1
Grass,Outdoor,34,2.13,1.67,1
Grass,Outdoor,25,1.52,2.44,1
Grass,Outdoor,-62,1.46,2.63,0
Grass,Outdoor,-104,1.03,11.82,1
Grass,Outdoor,-48,1.07,7.59,1
Grass,Outdoor,-98,1.03,10.66,1
Grass,Outdoor,329,3.01,1.36,0
Grass,Outdoor,145,2.1,1.69,0
Grass,Outdoor,-57,1.72,2.06,1
Grass,Outdoor,-32,3.54,1.28,0
Grass,Outdoor,-500,1.4,2.83,1
Grass,Outdoor,-111,1.01,15,1
Grass,Outdoor,47,2.28,1.59,0
Grass,Outdoor,-43,2.03,1.74,1
Grass,Outdoor,93,11.44,1.03,0
Grass,Outdoor,-69,1.29,3.47,1
Grass,Outdoor,-184,1.42,2.76,1
Grass,Outdoor,136,2.81,1.41,0
Grass,Outdoor,56,12.21,1.02,1
Grass,Outdoor,61,4.06,1.22,0
Grass,Outdoor,7,2.39,1.54,0
Grass,Outdoor,35,2.59,1.48,1
Grass,Outdoor,71,14.98,1.02,0
Grass,Outdoor,-37,1.18,4.5,0
Grass,Outdoor,-71,1.22,4.08,0
Grass,Outdoor,-86,1.18,4.51,0
Grass,Outdoor,30,3.02,1.36,1
Grass,Outdoor,-43,2.13,1.68,0
Grass,Outdoor,51,2.4,1.54,0
Grass,Outdoor,-19,1.46,2.64,0
Grass,Outdoor,-59,1.33,3.2,1
Grass,Outdoor,-59,2.18,1.65,0
Grass,Outdoor,67,1.6,2.28,0
Grass,Outdoor,212,2.29,1.59,0
Grass,Outdoor,-13,1.44,2.68,0
Grass,Outdoor,80,2.26,1.6,0
Grass,Outdoor,-25,4.48,1.19,0
Grass,Outdoor,-24,1.3,3.39,0
Grass,Outdoor,-45,1.71,2.07,1
Grass,Outdoor,-32,3.02,1.36,1
Grass,Outdoor,948,6.44,1.1,0
Grass,Outdoor,31,1.4,2.82,0
Grass,Outdoor,34,2.33,1.57,0
Grass,Outdoor,172,1.48,2.59,0
Grass,Outdoor,-72,1.75,2.02,1
Grass,Outdoor,4,1.87,1.87,0
Grass,Outdoor,7,2.5,1.5,0
Grass,Outdoor,312,5.86,1.12,1
Grass,Outdoor,35,3.36,1.3,0
Grass,Outdoor,-39,1.79,1.95,0
Grass,Outdoor,-42,1.25,3.81,1
Grass,Outdoor,30,4.01,1.22,0
Grass,Outdoor,-22,1.58,2.32,1
Grass,Outdoor,-35,2.04,1.73,1
Grass,Outdoor,-270,1.25,3.81,0
Grass,Outdoor,140,3.03,1.36,0
Grass,Outdoor,56,1.74,2.03,1
Grass,Outdoor,295,2.43,1.53,0
Grass,Outdoor,-7,1.4,2.84,1
Grass,Outdoor,14,1.5,2.54,1
Grass,Outdoor,-3,1.74,2.03,0
Grass,Outdoor,-1,1.38,2.96,1
Grass,Outdoor,-33,2.33,1.58,1
Grass,Outdoor,5,1.4,2.84,1
Grass,Outdoor,84,1.48,2.57,0
Grass,Outdoor,3,1.91,1.82,1
Grass,Outdoor,13,2,1.76,0
Grass,Outdoor,-4,1.85,1.89,1
Grass,Outdoor,-194,1.55,2.37,1
Grass,Outdoor,148,2.57,1.48,1
Grass,Outdoor,-116,1.25,3.79,0
Grass,Outdoor,-234,1.56,2.37,1
Grass,Outdoor,-16,1.45,2.65,1
Grass,Outdoor,-3,1.88,1.85,1
Grass,Outdoor,96,2.26,1.6,0
Grass,Outdoor,25,2.93,1.38,0
Grass,Outdoor,50,2.49,1.5,1
Grass,Outdoor,205,4.85,1.17,0
Grass,Outdoor,17,2.31,1.59,1
Grass,Outdoor,-88,1.43,2.73,1
Grass,Outdoor,31,2.18,1.64,1
Grass,Outdoor,36,2.63,1.46,0
Grass,Outdoor,61,4.84,1.16,1
Grass,Outdoor,14,1.91,1.83,1
Grass,Outdoor,10,1.54,2.42,1
Grass,Outdoor,-19,1.28,3.57,1
